street;street_type;lat;lon;named_after_person;annotation
Детский сад №330;улица;55.0639478;82.9019562;False;Детский сад №330 — обычный городской топоним.
Детский сад №322;улица;54.9841479;82.8939503;False;Детский сад №322 — обычный городской топоним.
Детский сад №323;улица;54.9819882;82.8508105;False;Детский сад №323 — обычный городской топоним.
Детский сад №406 'Аленка';улица;54.9897932;82.8852761;False;Детский сад №406 'Аленка' — обычный городской топоним.
Детский сад №432;улица;54.9679227;82.8710356;False;Детский сад №432 — обычный городской топоним.
Детский сад №234 'Кроха';улица;55.008986;82.9673058;False;Детский сад №234 'Кроха' — обычный городской топоним.
Детский сад №389;улица;54.9972435;82.9651915;False;Детский сад №389 — обычный городской топоним.
Детский сад №498;улица;54.9974413;83.0040537;False;Детский сад №498 — обычный городской топоним.
Детский сад №78 'Теремок';улица;54.9384101;83.1260814;False;Детский сад №78 'Теремок' — обычный городской топоним.
Детский сад №251;улица;54.8612649;83.0854187;False;Детский сад №251 — обычный городской топоним.
Детский сад №280 'Якорёк';улица;54.851247;82.9724625;False;Детский сад №280 'Якорёк' — обычный городской топоним.
Детский сад №304;улица;54.8423308;83.1051265;False;Детский сад №304 — обычный городской топоним.
Школа №112;улица;54.8511537;82.9723243;False;Школа №112 — обычный городской топоним.
Водозабор НФС-3 'Камешек';улица;54.9543433;83.0161615;False;Водозабор НФС-3 'Камешек' — обычный городской топоним.
Путеец;улица;54.8872026;83.039485;False;Путеец — обычный городской топоним.
Школа №16;улица;55.02005;82.9629117;False;Школа №16 — обычный городской топоним.
Школа №189;улица;54.996803;83.0090212;False;Школа №189 — обычный городской топоним.
Школа №61;улица;54.8669778;83.0846045;False;Школа №61 — обычный городской топоним.
ДРСУ Советского района;улица;54.8600754;83.0987645;False;ДРСУ Советского района — обычный городской топоним.
Бывшая ТС;улица;54.8605662;83.0995452;False;Бывшая ТС — обычный городской топоним.
Иня;улица;54.9757196;83.0561225;False;Иня — обычный городской топоним.
Золоотвал №2 ТЭЦ №5;улица;55.0099275;83.0967973;False;Золоотвал №2 ТЭЦ №5 — обычный городской топоним.
Управление энергетики и водоснабжения;улица;54.8552433;83.1132735;False;Управление энергетики и водоснабжения — обычный городской топоним.
Водопроводная насосная станция;улица;55.0530192;82.8876115;False;Водопроводная насосная станция — обычный городской топоним.
Детский сад №467;улица;55.0522057;82.886737;False;Детский сад №467 — обычный городской топоним.
Большая Протока;улица;54.9363098;83.061572;False;Большая Протока — обычный городской топоним.
Новосибирская центральная районная больница, пос. Краснообск;улица;54.925871;82.9879518;False;Новосибирская центральная районная больница, пос. Краснообск — обычный городской топоним.
Гимназия №13;улица;54.9264919;82.9836889;False;Гимназия №13 — обычный городской топоним.
PepsiCo;улица;54.9462791;82.9297181;False;PepsiCo — обычный городской топоним.
Колосс;улица;54.9477267;82.9291546;False;Колосс — обычный городской топоним.
Логотех;улица;54.9461185;82.9237428;False;Логотех — обычный городской топоним.
МКП ПАТС;улица;54.9477457;82.9253569;False;МКП ПАТС — обычный городской топоним.
ООО Гулливер;улица;54.9450899;82.9257932;False;ООО Гулливер — обычный городской топоним.
Сибирская Пивоварня Хейнекен;улица;54.94281;82.9287321;False;Сибирская Пивоварня Хейнекен — обычный городской топоним.
АТП 'Сибирь';улица;54.9481509;82.9211102;False;АТП 'Сибирь' — обычный городской топоним.
АТХ МУП 'Горводоканал';улица;54.9488372;82.9140539;False;АТХ МУП 'Горводоканал' — обычный городской топоним.
База НГТС;улица;54.9486996;82.9189564;False;База НГТС — обычный городской топоним.
Гринвиль;улица;54.9489254;82.9126605;False;Гринвиль — обычный городской топоним.
ДЭУ №4;улица;54.9487375;82.9154307;False;ДЭУ №4 — обычный городской топоним.
Зернопродукт;улица;54.9478674;82.9125139;False;Зернопродукт — обычный городской топоним.
Новосибирский мусороперерабатывающий завод №2;улица;54.9458764;82.9184829;False;Новосибирский мусороперерабатывающий завод №2 — обычный городской топоним.
Спецавтохозяйство;улица;54.9463559;82.9144182;False;Спецавтохозяйство — обычный городской топоним.
ООО 'Сибэлектропривод';улица;54.9432379;82.9083872;False;ООО 'Сибэлектропривод' — обычный городской топоним.
АТП Новосибирскэнерго;улица;55.003485;82.8783392;False;АТП Новосибирскэнерго — обычный городской топоним.
АТП;улица;55.0061843;82.8729509;False;АТП — обычный городской топоним.
ДЭУ №3 База №2;улица;54.9989215;82.8785964;False;ДЭУ №3 База №2 — обычный городской топоним.
НЗСК;улица;55.0041914;82.8812621;False;НЗСК — обычный городской топоним.
СК Стройэнергоальянс;улица;55.0056026;82.8790965;False;СК Стройэнергоальянс — обычный городской топоним.
ТЭЦ №2;улица;55.001849;82.8740695;False;ТЭЦ №2 — обычный городской топоним.
Котельная;улица;55.0729125;82.8970324;False;Котельная — обычный городской топоним.
Горводоканал;улица;55.0701108;82.9044072;False;Горводоканал — обычный городской топоним.
Новосибирский завод полупроводниковых приборов;улица;55.0667101;82.9012769;False;Новосибирский завод полупроводниковых приборов — обычный городской топоним.
Центр профессиональной подготовки ГУ МВД РФ;улица;55.0675883;82.9037464;False;Центр профессиональной подготовки ГУ МВД РФ — обычный городской топоним.
Ботанический жилмассив;пригород;55.0615423;82.8984732;False;Ботанический жилмассив — обычный городской топоним.
Городская поликлиника №9;улица;55.0559011;82.8961452;False;Городская поликлиника №9 — обычный городской топоним.
Государственна областная Новосибирская туберкулёзная больница;улица;55.0568011;82.8960055;False;Государственна областная Новосибирская туберкулёзная больница — обычный городской топоним.
Кожно-венерологический диспансер №1;улица;55.0570971;82.8982801;False;Кожно-венерологический диспансер №1 — обычный городской топоним.
Школа №120;улица;55.05529;82.8998827;False;Школа №120 — обычный городской топоним.
Детcкая городская клиническая больница №3;улица;55.0514963;82.8878628;False;Детcкая городская клиническая больница №3 — обычный городской топоним.
Детский автогородок;улица;55.0513172;82.8906439;False;Детский автогородок — обычный городской топоним.
Ростехнадзор;улица;55.0528724;82.8856943;False;Ростехнадзор — обычный городской топоним.
Школа №131;улица;55.0523921;82.8896573;False;Школа №131 — обычный городской топоним.
Биатлонный комплекс;улица;55.0532059;83.0387046;False;Биатлонный комплекс — обычный городской топоним.
Кольцово;town;54.9215434;83.2081326;False;Кольцово — обычный городской топоним.
Бердск;город;54.7437303;83.0966762;False;Бердск — обычный городской топоним.
Хозяйственные товары;улица;55.041744;82.924942;False;Хозяйственные товары — обычный городской топоним.
Центральный рынок;улица;55.0419249;82.9236077;False;Центральный рынок — обычный городской топоним.
Быстромолл;улица;54.8603289;83.109171;False;Быстромолл — обычный городской топоним.
Школа №198;улица;54.9477019;82.8813615;False;Школа №198 — обычный городской топоним.
Площадь Пименова;площадь;55.0166212;82.9464521;False;Площадь Пименова — обычный городской топоним.
Сквер Героев Донбасса;улица;55.0231808;82.9716105;False;Сквер Героев Донбасса — обычный городской топоним.
Газпромнефть;улица;54.9784064;83.0247035;False;Газпромнефть — обычный городской топоним.
Сибгидромехстрой;улица;54.9498261;82.8599643;False;Сибгидромехстрой — обычный городской топоним.
Сибирские ресурсы;улица;54.9497019;82.8613284;False;Сибирские ресурсы — обычный городской топоним.
Администрация Кировского района;улица;54.9412577;82.9009631;False;Администрация Кировского района — обычный городской топоним.
Сосновый бор;улица;55.0837699;82.9494843;False;Сосновый бор — обычный городской топоним.
Дендропарк (Ботаническое лесничество);улица;55.0612278;82.8819651;False;Дендропарк (Ботаническое лесничество) — обычный городской топоним.
ПКиО Бугринская роща;улица;54.9713516;82.9571015;False;ПКиО Бугринская роща — обычный городской топоним.
ПКиО 'Берёзовая роща';улица;55.046712;82.9516369;False;ПКиО 'Берёзовая роща' — обычный городской топоним.
Водосеть-1;улица;55.0483227;82.9299522;False;Водосеть-1 — обычный городской топоним.
Новосибирский жировой комбинат;улица;55.0487848;82.9291864;False;Новосибирский жировой комбинат — обычный городской топоним.
Историко-архитектурный музей под открытым небом;улица;54.8503406;83.179859;False;Историко-архитектурный музей под открытым небом — обычный городской топоним.
Протока малая;улица;54.8696073;83.0440689;False;Протока малая — обычный городской топоним.
Sagittarius;улица;55.1267967;82.9688857;False;Sagittarius — обычный городской топоним.
сквер Героев Революции;улица;55.0279401;82.9233048;False;сквер Героев Революции — обычный городской топоним.
Дом Актёра;улица;55.0280164;82.924745;False;Дом Актёра — обычный городской топоним.
Новый корпус;улица;54.8432436;83.0898888;False;Новый корпус — обычный городской топоним.
остров Кустовой;улица;54.9826997;82.9649916;False;остров Кустовой — обычный городской топоним.
Клещихинское кладбище;улица;54.9490523;82.8106131;False;Клещихинское кладбище — обычный городской топоним.
Кирпичный завод №1;улица;54.9454191;82.8227045;False;Кирпичный завод №1 — обычный городской топоним.
Рынок 'Хилокский';улица;54.9484842;82.8292505;False;Рынок 'Хилокский' — обычный городской топоним.
Школа №91;улица;54.9661462;82.9202387;False;Школа №91 — обычный городской топоним.
ДНТ «Славянка»;улица;55.0392497;82.780489;False;ДНТ «Славянка» — обычный городской топоним.
урочище Высотинка;улица;54.9022868;82.643431;False;урочище Высотинка — обычный городской топоним.
СНТ «Сосна»;улица;55.0828112;82.7196796;False;СНТ «Сосна» — обычный городской топоним.
СНТ «Связист»;улица;55.0812361;82.7242849;False;СНТ «Связист» — обычный городской топоним.
СНТ «Недра»;улица;55.0802877;82.7272575;False;СНТ «Недра» — обычный городской топоним.
СНТ «Связист-2»;улица;55.079254;82.7289236;False;СНТ «Связист-2» — обычный городской топоним.
СНТ «Медик»;улица;55.0785276;82.7327102;False;СНТ «Медик» — обычный городской топоним.
СНТ «Мечта»;улица;55.0767841;82.7352798;False;СНТ «Мечта» — обычный городской топоним.
Государственная областная Новосибирская клиническая туберкулезная больница;улица;55.1046346;82.7754739;False;Государственная областная Новосибирская клиническая туберкулезная больница — обычный городской топоним.
Никольская площадь;пешеходная улица;55.0417348;82.9104485;False;Никольская площадь — обычный городской топоним.
Октябрьский;деревня;55.1864894;83.1322525;False;Октябрьский — обычный городской топоним.
Микрорайон;улица;55.0850921;82.6432796;False;Микрорайон — обычный городской топоним.
ЖК Седьмое небо;улица;55.0412343;82.9451023;False;ЖК Седьмое небо — обычный городской топоним.
Комсомольская;улица;54.9538318;82.9846803;False;Комсомольская — обычный городской топоним.
Городская клиническая больница №11;улица;54.9828766;82.8249053;False;Городская клиническая больница №11 — обычный городской топоним.
Жилой комплекс «Радуга Сибири»;улица;54.9886349;82.7803892;False;Жилой комплекс «Радуга Сибири» — обычный городской топоним.
Новомарусино;улица;55.0317694;82.8080626;False;Новомарусино — обычный городской топоним.
Дивногорский микрорайон;улица;55.0252646;82.8069859;False;Дивногорский микрорайон — обычный городской топоним.
Институт ФСБ;улица;55.0481009;82.9168709;False;Институт ФСБ — обычный городской топоним.
Близкий микрорайон;улица;55.1221397;83.043193;False;Близкий микрорайон — обычный городской топоним.
Терминал А (внутренних линий);улица;55.0096971;82.6673567;False;Терминал А (внутренних линий) — обычный городской топоним.
Veka;улица;55.0746537;82.6781404;False;Veka — обычный городской топоним.
Свинокомплекс;улица;55.069891;82.7000527;False;Свинокомплекс — обычный городской топоним.
Алютех;улица;55.0367452;82.7757088;False;Алютех — обычный городской топоним.
ДКС;улица;55.0419423;82.7698057;False;ДКС — обычный городской топоним.
Гаражный комплекс;улица;55.0476548;82.8892568;False;Гаражный комплекс — обычный городской топоним.
Бугринский пляж;улица;54.9757825;82.956222;False;Бугринский пляж — обычный городской топоним.
пролив Курья;улица;55.1030687;82.6541413;False;пролив Курья — обычный городской топоним.
Озеро Собачье;улица;55.0351824;83.010047;False;Озеро Собачье — обычный городской топоним.
Детский лагерь им. К.С. Заслонова;улица;55.0640564;82.8289783;False;Детский лагерь им. К.С. Заслонова — обычный городской топоним.
озеро Каинка;улица;54.8708192;83.1365007;False;озеро Каинка — обычный городской топоним.
Жилой комплекс «Ёлки-House»;улица;54.8721757;83.1095922;False;Жилой комплекс «Ёлки-House» — обычный городской топоним.
Надежда-2;улица;54.8185941;83.1610801;False;Надежда-2 — обычный городской топоним.
Вера;улица;54.8154099;83.1716012;False;Вера — обычный городской топоним.
Полянка;улица;54.8074601;83.1784921;False;Полянка — обычный городской топоним.
Флора-1;улица;54.8327801;83.1389033;False;Флора-1 — обычный городской топоним.
Школа №134;улица;54.9386286;82.9203628;False;Школа №134 — обычный городской топоним.
Утилизация твердых бытовых отходов;улица;54.8911858;83.1551448;False;Утилизация твердых бытовых отходов — обычный городской топоним.
Бизнес-парк Южный;улица;54.9370211;83.1431717;False;Бизнес-парк Южный — обычный городской топоним.
Сибирьбуровод;улица;54.9334912;83.1448342;False;Сибирьбуровод — обычный городской топоним.
Раствоно-бетонный узел;улица;54.9313216;83.1394902;False;Раствоно-бетонный узел — обычный городской топоним.
Стрежтранссервис;улица;54.9290544;83.1380189;False;Стрежтранссервис — обычный городской топоним.
Ельцовская;улица;55.0644448;82.9026954;False;Ельцовская — обычный городской топоним.
Жилой комлекс 'Эталон';улица;55.0647013;82.9020249;False;Жилой комлекс 'Эталон' — обычный городской топоним.
Горностай;улица;54.8672309;83.1030768;False;Горностай — обычный городской топоним.
Огромка;улица;54.9489561;83.1036034;False;Огромка — обычный городской топоним.
Прайм;улица;55.0314896;83.0030847;False;Прайм — обычный городской топоним.
Коррекционная школа №60;улица;55.0433768;82.9041356;False;Коррекционная школа №60 — обычный городской топоним.
Автобусный отстойник;улица;54.9889287;83.0390538;False;Автобусный отстойник — обычный городской топоним.
Новосибирский военный институт;улица;54.9836052;83.03145;False;Новосибирский военный институт — обычный городской топоним.
Южное;улица;54.8703671;83.1152465;False;Южное — обычный городской топоним.
Насосно-фильтровальная станция №1;улица;54.9519399;82.9856519;False;Насосно-фильтровальная станция №1 — обычный городской топоним.
микрорайон Фламинго;улица;54.9249766;82.9134015;False;микрорайон Фламинго — обычный городской топоним.
Жилой комплекс «На Ельцовской»;улица;55.0463972;82.8865304;False;Жилой комплекс «На Ельцовской» — обычный городской топоним.
Весенний микрорайон;пригород;54.9799515;83.0563291;False;Весенний микрорайон — обычный городской топоним.
Кропоткинский жилмассив;пригород;55.0535389;82.9185993;False;Кропоткинский жилмассив — обычный городской топоним.
INFINITY;улица;55.1171571;82.9318629;False;INFINITY — обычный городской топоним.
Онега;улица;55.1151807;82.9303769;False;Онега — обычный городской топоним.
Приозёрный;улица;55.1161809;82.9566383;False;Приозёрный — обычный городской топоним.
Школа № 219;улица;55.1073958;82.9468124;False;Школа № 219 — обычный городской топоним.
Детский сад №77;улица;55.1077697;82.9443808;False;Детский сад №77 — обычный городской топоним.
Жилой комплекс «Лев Толстой»;улица;55.0694419;82.9134739;False;Жилой комплекс «Лев Толстой» — обычный городской топоним.
Детский сад № 272;улица;55.0752054;82.9030068;False;Детский сад № 272 — обычный городской топоним.
Жилой комплекс «Расцветай на Красном»;улица;55.0625581;82.9068861;False;Жилой комплекс «Расцветай на Красном» — обычный городской топоним.
Красная горка;улица;54.9855096;83.013619;False;Красная горка — обычный городской топоним.
Коттеджный посёлок 'Красная горка';улица;54.9839418;83.0114025;False;Коттеджный посёлок 'Красная горка' — обычный городской топоним.
Школа №146;улица;54.9641183;83.0592089;False;Школа №146 — обычный городской топоним.
Детский сад №57 'Чебурашка';улица;54.963298;83.0643895;False;Детский сад №57 'Чебурашка' — обычный городской топоним.
Детский сад №60 'Солнышко';улица;54.9626437;83.0637313;False;Детский сад №60 'Солнышко' — обычный городской топоним.
Школа №145;улица;54.9557947;83.0678576;False;Школа №145 — обычный городской топоним.
ИК-3 ГУФСИН по Новосибирской области;улица;54.9494788;83.0716697;False;ИК-3 ГУФСИН по Новосибирской области — обычный городской топоним.
Школа №147;улица;54.9548175;83.1102886;False;Школа №147 — обычный городской топоним.
НТЖТ;улица;54.9521104;83.1108925;False;НТЖТ — обычный городской топоним.
Жилой комплекс «Сокольники»;улица;54.9403165;83.0986724;False;Жилой комплекс «Сокольники» — обычный городской топоним.
Берёзовое;пригород;54.9378117;83.1067403;False;Берёзовое — обычный городской топоним.
Северный;пригород;55.0948394;82.936977;False;Северный — обычный городской топоним.
Детский сад №510 'Калинка';улица;55.0943568;82.9421306;False;Детский сад №510 'Калинка' — обычный городской топоним.
Орловка;пригород;54.9490594;83.1634083;False;Орловка — обычный городской топоним.
Барышево;деревня;54.9610314;83.1787854;False;Барышево — обычный городской топоним.
Жилой комплекс «Сосны»;улица;55.0466136;82.8650125;False;Жилой комплекс «Сосны» — обычный городской топоним.
Школа №177;улица;55.0456305;82.9889773;False;Школа №177 — обычный городской топоним.
Ключевой жилмассив;пригород;55.1264925;82.9755564;False;Ключевой жилмассив — обычный городской топоним.
Садовый;деревня;55.1440473;82.9574008;False;Садовый — обычный городской топоним.
Жилой комплекс «На Народной»;улица;55.0775908;82.9610952;False;Жилой комплекс «На Народной» — обычный городской топоним.
Идиллия;улица;55.0525005;82.9042166;False;Идиллия — обычный городской топоним.
Эко-комплекс «Свобода»;улица;55.0496855;83.0309883;False;Эко-комплекс «Свобода» — обычный городской топоним.
ПТОЛ;улица;54.9632348;83.1166269;False;ПТОЛ — обычный городской топоним.
ЖК «Расцветай на Гоголя»;улица;55.0495168;82.9675152;False;ЖК «Расцветай на Гоголя» — обычный городской топоним.
Orion;улица;54.9508103;82.9390178;False;Orion — обычный городской топоним.
Детский сад №508, корпус №2, 'Фея';улица;54.9868251;83.0429248;False;Детский сад №508, корпус №2, 'Фея' — обычный городской топоним.
квартал Согласия;улица;54.9729239;82.7504395;False;квартал Согласия — обычный городской топоним.
Жилой комплекс «Пригородный простор»;улица;54.9764766;82.7574253;False;Жилой комплекс «Пригородный простор» — обычный городской топоним.
квартал Королёва;улица;54.9766404;82.762788;False;квартал Королёва — обычный городской топоним.
квартал Джобса;улица;54.9773773;82.7652999;False;квартал Джобса — обычный городской топоним.
Город-парк «Ясный берег»;улица;55.0142587;82.8975115;False;Город-парк «Ясный берег» — обычный городской топоним.
Жилой комплекс «Венеция»;улица;55.0168143;82.8915789;False;Жилой комплекс «Венеция» — обычный городской топоним.
Первый квартал;улица;54.9818655;83.1463767;False;Первый квартал — обычный городской топоним.
Второй квартал;улица;54.9791462;83.1475906;False;Второй квартал — обычный городской топоним.
Третий квартал;улица;54.980074;83.1506955;False;Третий квартал — обычный городской топоним.
Четвёртый квартал;улица;54.980847;83.1537819;False;Четвёртый квартал — обычный городской топоним.
Новолуговое;деревня;54.9793572;83.1295583;False;Новолуговое — обычный городской топоним.
микрорайон «Берёзки 2»;пригород;54.9831638;83.149447;False;микрорайон «Берёзки 2» — обычный городской топоним.
ЖК «Европейский берег»;улица;54.9918587;82.9707611;False;ЖК «Европейский берег» — обычный городской топоним.
Жилой комплекс «Новые Матрёшки»;улица;54.93411;82.8780085;False;Жилой комплекс «Новые Матрёшки» — обычный городской топоним.
ДНП «Марусино»;улица;55.0304143;82.7164384;False;ДНП «Марусино» — обычный городской топоним.
Жилой комплекс 'Морской';улица;54.7856433;83.0393323;False;Жилой комплекс 'Морской' — обычный городской топоним.
Микрорайон 'Д';пригород;54.8619267;83.0842434;False;Микрорайон 'Д' — обычный городской топоним.
Жилой комплекс «Галилео»;улица;54.8671871;83.0996721;False;Жилой комплекс «Галилео» — обычный городской топоним.
Жилой комплекс «Мандарин»;улица;54.9756378;83.0925242;False;Жилой комплекс «Мандарин» — обычный городской топоним.
ВТБ;улица;54.975818;83.0811335;False;ВТБ — обычный городской топоним.
Пятёрочка;улица;54.9752429;83.0851866;False;Пятёрочка — обычный городской топоним.
Жилой комплекс «Манхэттен»;улица;54.9754741;83.083902;False;Жилой комплекс «Манхэттен» — обычный городской топоним.
Жилой комплекс «Акация на Лежена»;улица;55.0363707;82.9892645;False;Жилой комплекс «Акация на Лежена» — обычный городской топоним.
Жилой дом «Виноград»;улица;54.9768062;83.085084;False;Жилой дом «Виноград» — обычный городской топоним.
Детский сад №28;улица;54.9803692;83.0567576;False;Детский сад №28 — обычный городской топоним.
Жилой комплекс «Эверест»;улица;54.9871081;83.0407991;False;Жилой комплекс «Эверест» — обычный городской топоним.
Исправительная колония № 18;улица;54.9837333;83.0376949;False;Исправительная колония № 18 — обычный городской топоним.
ЖК 'Ключ-Камышенский';улица;54.9901995;83.0397048;False;ЖК 'Ключ-Камышенский' — обычный городской топоним.
КПП;улица;54.9890854;83.0386931;False;КПП — обычный городской топоним.
Торговый центр на Ключ-Камышенском плато;улица;54.9894039;83.0391523;False;Торговый центр на Ключ-Камышенском плато — обычный городской топоним.
СНТ «Садовод-Мичуринец»;улица;55.0649754;83.0213829;False;СНТ «Садовод-Мичуринец» — обычный городской топоним.
Жилой комплекс «Астон.Геометрия»;улица;55.007928;83.020748;False;Жилой комплекс «Астон.Геометрия» — обычный городской топоним.
Жилой комплекс «Аэропорт»;улица;55.0814788;82.9010233;False;Жилой комплекс «Аэропорт» — обычный городской топоним.
ГК 'Авиатор';улица;55.0822378;82.9006514;False;ГК 'Авиатор' — обычный городской топоним.
Жилой комплекс «Лето»;улица;54.9657286;82.8322826;False;Жилой комплекс «Лето» — обычный городской топоним.
Жилой квартал «Red Fox»;улица;55.0416219;83.0228667;False;Жилой квартал «Red Fox» — обычный городской топоним.
Жилой комплекс «На Снежиной»;улица;55.0203568;83.021539;False;Жилой комплекс «На Снежиной» — обычный городской топоним.
Жилой комплекс «Грибоедов»;улица;55.0196015;82.9780055;False;Жилой комплекс «Грибоедов» — обычный городской топоним.
Жилой комплекс «Знаменский квартал»;улица;55.0306489;82.9794017;False;Жилой комплекс «Знаменский квартал» — обычный городской топоним.
Гимназия №11 'Гармония';улица;55.0303277;82.9755065;False;Гимназия №11 'Гармония' — обычный городской топоним.
Жилой комплекс 'Гурьевский';улица;55.0254367;82.966375;False;Жилой комплекс 'Гурьевский' — обычный городской топоним.
Жилой комплекс «Дом на Федосеева»;улица;55.0354629;82.9648373;False;Жилой комплекс «Дом на Федосеева» — обычный городской топоним.
ЖК Каменский;улица;55.0356375;82.9579381;False;ЖК Каменский — обычный городской топоним.
Жилой комплекс «Ломоносов»;улица;55.0376294;82.9573684;False;Жилой комплекс «Ломоносов» — обычный городской топоним.
Жилой комплекс «Молодёжный»;улица;55.0354938;82.961518;False;Жилой комплекс «Молодёжный» — обычный городской топоним.
КСМ ТЦ;улица;54.9411384;83.1187745;False;КСМ ТЦ — обычный городской топоним.
Снегоплавильная станция;улица;55.0390583;82.9646336;False;Снегоплавильная станция — обычный городской топоним.
Жилой комплекс «Пифагор»;улица;55.0402481;82.9642798;False;Жилой комплекс «Пифагор» — обычный городской топоним.
ЖК История;улица;55.0417128;82.9676724;False;ЖК История — обычный городской топоним.
Жилой комплекс «Золотая Нива»;улица;55.0408542;82.9706149;False;Жилой комплекс «Золотая Нива» — обычный городской топоним.
ЖК Золотая Нива;улица;55.0411754;82.9706604;False;ЖК Золотая Нива — обычный городской топоним.
Жилой комплекс «На Королёва»;улица;55.0479264;82.9733993;False;Жилой комплекс «На Королёва» — обычный городской топоним.
Жилой комплекс «ГринАрт»;улица;55.0497741;82.953209;False;Жилой комплекс «ГринАрт» — обычный городской топоним.
Жилой комплекс «Галактика»;улица;55.0539525;82.9486105;False;Жилой комплекс «Галактика» — обычный городской топоним.
дом 'Нептун';улица;55.0530035;82.9470879;False;дом 'Нептун' — обычный городской топоним.
ЖК 'Land Lord';улица;55.0502948;82.9285206;False;ЖК 'Land Lord' — обычный городской топоним.
Жилой комплекс «Островский»;улица;55.0504883;82.9305383;False;Жилой комплекс «Островский» — обычный городской топоним.
Жилой комплекс «Лазурит»;улица;55.0493127;82.9354266;False;Жилой комплекс «Лазурит» — обычный городской топоним.
Жилой комплекс «Сосновый бор»;улица;55.0708475;82.942147;False;Жилой комплекс «Сосновый бор» — обычный городской топоним.
Жилой комплекс «Просвещение»;улица;55.0656654;82.9399507;False;Жилой комплекс «Просвещение» — обычный городской топоним.
Жилой комплекс «Калининский-3»;улица;55.0614613;82.9390228;False;Жилой комплекс «Калининский-3» — обычный городской топоним.
Жилой комплекс «Калининский-2»;улица;55.0613487;82.9382535;False;Жилой комплекс «Калининский-2» — обычный городской топоним.
Жилой комплекс «Эрмитаж»;улица;55.0590897;82.9192003;False;Жилой комплекс «Эрмитаж» — обычный городской топоним.
Жилой комплекс «Огни Сибири»;улица;55.0465694;82.9265099;False;Жилой комплекс «Огни Сибири» — обычный городской топоним.
Жилой комплекс «Воздух»;улица;55.0465538;82.9258982;False;Жилой комплекс «Воздух» — обычный городской топоним.
Жилой комплекс «Дом на Шамшиных»;улица;55.0419883;82.9290583;False;Жилой комплекс «Дом на Шамшиных» — обычный городской топоним.
Дом на Шамшиных;улица;55.041957;82.9290383;False;Дом на Шамшиных — обычный городской топоним.
Жилой комплекс «Онегин»;улица;55.045948;82.9070174;False;Жилой комплекс «Онегин» — обычный городской топоним.
Жилой комплекс «Оникс»;улица;55.031439;82.9006942;False;Жилой комплекс «Оникс» — обычный городской топоним.
Жилой комплекс «Гудимов»;улица;55.0222981;82.9143426;False;Жилой комплекс «Гудимов» — обычный городской топоним.
Жилой комплекс «Расцветай на Ядринцевской»;улица;55.0342589;82.9309838;False;Жилой комплекс «Расцветай на Ядринцевской» — обычный городской топоним.
Расцветай на Яндрицевской;улица;55.0343521;82.9310234;False;Расцветай на Яндрицевской — обычный городской топоним.
Апартаменты «BonApart»;улица;55.0346507;82.9350182;False;Апартаменты «BonApart» — обычный городской топоним.
Жилой комплекс «На Трудовой»;улица;55.0336784;82.9351266;False;Жилой комплекс «На Трудовой» — обычный городской топоним.
Жилой комплекс «Ядринцевский квартал»;улица;55.03327;82.9303026;False;Жилой комплекс «Ядринцевский квартал» — обычный городской топоним.
Жилой комплекс «Дом на Чаплыгина»;улица;55.027291;82.9320517;False;Жилой комплекс «Дом на Чаплыгина» — обычный городской топоним.
Адмирал Ушаков;улица;55.0210611;82.9329264;False;Адмирал Ушаков — обычный городской топоним.
Жилой комплекс «Римский квартал»;улица;55.0197824;82.9343087;False;Жилой комплекс «Римский квартал» — обычный городской топоним.
Жилой комплекс «Академия»;улица;55.0179126;82.932931;False;Жилой комплекс «Академия» — обычный городской топоним.
Жилой комплекс «Дом на Садовой»;улица;55.0168266;82.9395761;False;Жилой комплекс «Дом на Садовой» — обычный городской топоним.
Квартал «На Декабристов»;улица;55.0136265;82.9363773;False;Квартал «На Декабристов» — обычный городской топоним.
Жилой комплекс 'Квартал На Декабристов';улица;55.0139274;82.9369157;False;Жилой комплекс 'Квартал На Декабристов' — обычный городской топоним.
Жилой комплекс «Облака»;улица;55.0206682;82.938799;False;Жилой комплекс «Облака» — обычный городской топоним.
Жилой комплекс «На Покатной»;улица;55.0264517;82.9480035;False;Жилой комплекс «На Покатной» — обычный городской топоним.
ЖК На Покатной;улица;55.0265614;82.9474032;False;ЖК На Покатной — обычный городской топоним.
Каменка;деревня;55.1083874;83.0615877;False;Каменка — обычный городской топоним.
микрорайон Гармония;улица;55.0959218;83.0847288;False;микрорайон Гармония — обычный городской топоним.
