street;street_type;lat;lon
улица Печатников;ул. общегородского значения;54.8648755;82.9763918
Пермская улица;ул. районного значения;54.9869245;82.85086
улица Военный городок;проезд;55.0302376;82.9615652
Тюменская улица;ул. районного значения;54.9633803;82.9425872
Томская улица;жилая улица;55.1669621;82.9735485
улица Аэропорт;улица;55.0814588;82.9063791
улица Королёва;жилая улица;55.0494126;82.9706248
Комбинатская улица;жилая улица;55.0520877;82.9750779
Авиационная улица;жилая улица;55.0592829;82.9936123
улица Александра Невского;жилая улица;55.0819834;82.9604236
Ясная улица;жилая улица;55.1255618;82.9719825
Солнечная улица;жилая улица;55.1271319;82.9750821
Совхозная улица;улица;55.1406674;82.961555
Юбилейная улица;жилая улица;55.1355399;82.9720407
Производственная улица;улица;55.1426124;82.9642207
Троицкая улица;жилая улица;55.1463748;82.9172828
улица Электромонтажников;жилая улица;55.1426819;82.9172618
улица Первопроходцев;жилая улица;55.1441417;82.9213553
Баргузинская улица;жилая улица;55.148026;82.9220073
Кубовая улица;улица;55.1311203;82.8891381
Петрозаводская улица;улица;55.126801;82.9061074
Чусовская улица;жилая улица;55.1311866;82.8969278
Кавалерийская улица;жилая улица;55.0569356;82.9176059
Пулемётная улица;жилая улица;55.0558255;82.9395887
Обогатительная улица;жилая улица;54.9666037;82.9521958
улица Саввы Кожевникова;жилая улица;54.970101;82.9565166
Оловозаводская улица;ул. районного значения;54.9589537;82.9461941
Ильменская улица;жилая улица;54.9679844;82.9137941
Чернореченская улица;жилая улица;54.9683253;82.9146924
Симферопольская улица;жилая улица;54.968176;82.9157986
Албазинская улица;жилая улица;54.9679319;82.9128171
Эстонская улица;жилая улица;54.9679747;82.9186576
Таймырская улица;жилая улица;54.9804157;82.9074152
Проектная улица;жилая улица;54.9724174;82.9101478
улица Эйхе;ул. общегородского значения;54.975764;83.0991513
улица Ключ-Камышенское Плато;ул. общегородского значения;54.9915449;83.0508164
улица Воскова;жилая улица;55.0027067;82.9863509
Инженерная улица;улица;54.8549838;83.1126366
Океанская улица;улица;54.8673573;83.0986143
улица Дружбы;жилая улица;54.99005;82.8760549
Декадная улица;жилая улица;54.9674986;82.9025573
Пригородная улица;жилая улица;54.9752204;82.9257485
улица Яковлева;жилая улица;54.9794962;82.9351276
Валдайская улица;жилая улица;54.9780293;82.9336794
Бугринский выселок;жилая улица;54.9736378;82.922055
Космическая улица;жилая улица;54.9864826;82.9019997
улица Олеко Дундича;жилая улица;55.0758071;82.9710014
улица Коминтерна;ул. районного значения;55.0485702;83.0225363
Бульварная улица;жилая улица;54.9759536;82.8638579
Телевизионная улица;жилая улица;54.9741879;82.889686
улица Успенского;жилая улица;54.9697673;82.8841102
Взлётная улица;ул. общегородского значения;54.9863934;83.0445249
Приграничная улица;улица;54.9327061;83.1375756
улица Одоевского;ул. районного значения;54.9249863;83.0767082
улица Вересаева;ул. районного значения;54.9453113;83.1148683
улица Ласточкина;ул. районного значения;54.9511244;83.1149732
улица Нахимова;жилая улица;54.9539216;83.1201083
Пихтовая улица;жилая улица;54.9571229;83.1080489
улица Чапаева;улица;54.9778123;83.0734455
Подольская улица;жилая улица;54.9785787;83.0628893
Столбовая улица;жилая улица;54.9782798;83.0648211
улица Перова;улица;54.9780049;83.056126
Радиаторная улица;улица;54.9798195;83.0688705
улица Шмидта;улица;54.9789563;83.0826282
Физкультурная улица;улица;54.9767544;83.0887184
улица Боровая Партия;жилая улица;54.8110014;83.0939348
улица Громова;жилая улица;54.9388473;82.9091772
Больничная улица;жилая улица;55.0359021;82.7516873
улица Школьная;ул. районного значения;55.0382717;82.7494721
Кедровая улица;жилая улица;55.1714817;82.7668288
улица Путинцева;жилая улица;55.1734825;82.772936
улица Свободы;жилая улица;55.1730469;82.7757172
Вилюйская улица;жилая улица;54.9997858;83.0062191
улица Костычева;жилая улица;54.9842302;82.8757997
Петропавловская улица;жилая улица;54.9725667;82.864313
улица Николая Грицюка;улица;54.9282357;82.8454885
улица Воеводского;жилая улица;54.8316892;83.106066
Журинская улица;жилая улица;55.0365468;82.9303367
улица Кропоткина;жилая улица;55.0537194;82.9137438
улица Фадеева;ул. районного значения;55.0950693;82.9364225
Гвардейский;пригород;55.1573214;82.9568733
Вокзальная улица;ул. районного значения;54.986092;82.7189786
улица Байдукова;жилая улица;54.9867261;82.7172839
улица Гагарина;жилая улица;54.9858114;82.7387906
улица Руставели;жилая улица;54.978933;83.0863266
улица Крамского;жилая улица;55.0242325;82.9871962
улица Костонаева;жилая улица;55.068643;82.9504272
Солнечный;пригород;55.1445322;82.9050406
Суходольная улица;жилая улица;54.9552691;82.8397492
улица Почтовый Лог;жилая улица;55.0454292;83.0058849
Чукотская улица;улица;54.9613264;82.8866239
улица Изыскателей;жилая улица;54.9724207;82.9076066
улица Военная;жилая улица;55.031808;82.9398059
улица Бродского;жилая улица;55.0565207;82.9821182
Пашино;пригород;55.1681428;82.9731372
улица Андрея Рублёва;жилая улица;55.1159077;82.9162099
улица Корнея Чуковского;жилая улица;55.1153762;82.9172988
улица Николая Шипилова;жилая улица;55.1169279;82.9144207
Воскресная улица;жилая улица;54.9432783;83.0080811
улица Надежды;жилая улица;55.02354;82.8119784
улица Декоративный Питомник;жилая улица;55.1128886;82.9234559
Моё Сокровище;грунтовая дорога;54.8081777;83.1856076
улица Светлых Надежд;жилая улица;54.8923033;82.9831143
Лунная улица;жилая улица;54.8947165;82.9843934
Заросший трейл;улица;54.8858726;83.1529482
Атлетическая улица;жилая улица;55.0725924;83.0390038
