street;street_type;lat;lon
Логовская улица;жилая улица;54.6333626;83.3003401
улица Кузнецова;жилая улица;55.2990855;82.7257273
улица Сибкомбайн;жилая улица;55.3004914;82.7565651
Ремесленная улица;жилая улица;55.3081358;82.7585802
улица Заводской Спуск;жилая улица;55.3115836;82.7609133
Автомобильный мост;ул. районного значения;54.6792592;83.2292656
Мост;пешеходная дорожка;54.9854877;83.3017766
Правобережная улица;жилая улица;54.6586667;83.3224971
улица Логовая;жилая улица;54.6320858;82.8279391
Пляжная улица;проезд;54.9895227;83.3005218
Рыболовная улица;проезд;54.9888755;83.2998196
Грибная улица;проезд;54.9910261;83.3001426
улица Блекотова;жилая улица;54.9982664;83.3361139
улица Целинстрой;жилая улица;55.2150331;83.3400984
улица Мурашкина;жилая улица;55.2185864;83.3383376
Граничная улица;проезд;54.9929061;83.3009292
Первоцветная улица;проезд;55.0252393;83.3385211
Элитная улица;улица;54.6608069;83.2491331
улица Г. Гололобовой;проезд;55.3134661;82.7594084
Песочная улица;жилая улица;55.3258418;82.8624999
улица Правый берег Бибихи;жилая улица;55.3267834;82.8640216
улица Ноздрюхина;жилая улица;55.3225872;82.738566
Мостик через Волчиху;пешеходная дорожка;54.8640769;83.3552577
заповедник клещей;грунтовая дорога;54.9744103;83.3322485
Полесадная улица;проезд;55.0268975;83.34468
Грибная;жилая улица;54.9917886;83.3079498
Есенина улица;жилая улица;54.710836;83.296948
Молодежная улица;жилая улица;54.9744737;82.4916586
улица Приозерная;жилая улица;54.8973123;82.5201623
улица Объездная;жилая улица;54.9005842;82.4970954
улица Тихая;жилая улица;54.8928017;82.5120972
улица Шолохова;жилая улица;54.9952627;82.4316795
Равнинная улица;жилая улица;54.6318517;83.2910991
Украинская улица;жилая улица;54.6201368;83.2926053
Легостаевская улица;жилая улица;54.6229383;83.3192365
Неглинная улица;жилая улица;54.6293874;83.2898478
Низинная улица;жилая улица;54.6308433;83.2925125
улица Потапова;жилая улица;54.9899441;82.433885
Прорабская улица;ул. районного значения;54.5995056;83.3130513
Тополинная улица;жилая улица;54.9604083;83.3726054
Молдавская;жилая улица;54.610665;83.296013
Рыбачья улица;жилая улица;55.4008367;82.8215354
Угольная улица;жилая улица;55.3984195;82.8185163
Полеводская улица;жилая улица;55.4057963;83.1991125
земляная насыпь с бревнами;грунтовая дорога;54.8642813;83.4241066
Лесорубная улица;грунтовая дорога;54.6236165;83.4348525
Калумба улица;жилая улица;54.6263297;82.3857756
Ливингстона улица;жилая улица;54.6258464;82.3866012
Мореходная улица;жилая улица;54.6250794;82.3872099
Парусная улица;жилая улица;54.624479;82.3878576
Фригата бульвар;жилая улица;54.6264238;82.3878539
околорельсовая;улица;55.0028868;82.3216263
Брод;улица;54.8628205;83.436402
улица Дружная;проезд;54.6045375;83.2806724
улица Искитимская;проезд;54.5839098;83.3232713
улица Ложковская;проезд;54.5843658;83.3246622
улица Семипалатинская;проезд;54.5863173;83.3216953
улица Бердская;проезд;54.5864471;83.3223169
улица Вишневая;проезд;54.5819738;83.3163391
улица Уклонная;проезд;54.5854612;83.3146549
улица Дорожная;проезд;54.5863214;83.3141647
Калининская улица;улица;54.8752621;83.5093774
Обской — Ташара;ул. районного значения;55.4886125;83.4605371
Сенная улица;улица;54.5158771;83.3429368
Кисeлёвская улица;жилая улица;54.5036214;83.4255463
Известковая улица;жилая улица;54.4917491;83.4214506
Газовая улица;ул. районного значения;54.8640312;83.50542
улица Будённого;жилая улица;54.5046511;83.3379117
Мятная улица;проезд;54.5323176;83.3714061
улица М. Баркова;жилая улица;55.0666436;83.463052
улица Страхова;улица;54.5048118;83.3418242
Мраморная улица;жилая улица;54.8774515;83.5030044
Камфорная;жилая улица;55.41953;83.1989238
Лодочная улица;жилая улица;55.4138887;82.8304475
Стадионная улица;проезд;55.4138347;83.1967101
улица Хутор;жилая улица;55.4206557;83.4777985
по границе поля;грунтовая дорога;54.5280628;82.8832592
переход через овраг с ручьем;грунтовая дорога;54.544632;82.8354448
пешая тропа;тропинка;54.4847016;82.7412231
поврежденная насыпь;грунтовая дорога;54.5447055;82.8353929
Донская улица;ул. районного значения;54.8266299;82.2954029
едва видна колея;грунтовая дорога;54.5009828;82.7884341
кусты и крапива;тропинка;54.7721033;83.4872085
улица Березовая;проезд;54.5455012;83.3466295
улица Цветочная;проезд;54.5477568;83.3539506
улица Яблоневая;проезд;54.5470026;83.3530181
улица Клубничная;проезд;54.5464642;83.3503893
улица Ясная;проезд;54.5479172;83.3566787
улица Тенистая;проезд;54.5512801;83.3344925
улица Пляжная;проезд;54.552368;83.334216
улица Светлая;проезд;54.5530443;83.3342957
улица Виноградная;проезд;54.5559264;83.3349182
улица Ягодная;проезд;54.5574101;83.3355735
Молодежная;жилая улица;55.2960902;82.2921381
Кузнецкая улица;жилая улица;55.0246994;82.1958781
улица Культурная;ул. районного значения;55.0062213;82.1890447
Листвянская улица;жилая улица;54.4570195;83.3760314
Банковская улица;жилая улица;55.0206345;82.2117445
улица Николая Бровина;жилая улица;55.0229165;82.2006657
улица Красикова;жилая улица;54.4545282;82.1613996
Механизаторская улица;жилая улица;55.2963;83.5957786
Тальменская улица;жилая улица;54.4203595;83.3248602
Дубровинская улица;жилая улица;55.3089317;83.6184728
улица Дорожников;жилая улица;55.0147256;82.2206805
Умрева — острог;улица;55.5611827;83.6092359
улица Пичугина;жилая улица;55.5166278;82.9181519
улица Н.И. Шнырева;жилая улица;55.3104749;83.6039842
улица Геологов;улица;54.4429613;83.4659784
улица Агрогородок;жилая улица;54.5650929;82.2483062
улица Чекина;жилая улица;54.5716508;82.2402258
улица Щербакова;жилая улица;55.0160182;82.2225948
Учительская;жилая улица;55.5931728;83.0269876
Мошково — Кайлы;ул. районного значения;55.2801396;83.7308711
Мошково — Сарапулка;ул. районного значения;55.228568;83.6639801
Кандыковская улица;жилая улица;55.5399543;82.9399575
улица Черёмушки;жилая улица;55.5191442;82.9183685
К живописной стоянке на высоком берегу;грунтовая дорога;54.4417654;82.3994993
Кедровая;жилая улица;55.5119004;83.1337085
Гороховская;жилая улица;55.5099168;83.1330702
улица Кандикова;ул. общегородского значения;54.5771986;82.2249465
Заорская улица;жилая улица;55.1306216;83.5725067
заросшая тропа по кромке поля;грунтовая дорога;54.4603247;82.9407969
переход через русло ручья;грунтовая дорога;54.4629818;82.9461985
обход границ карьера;грунтовая дорога;54.5630572;83.6207366
Бремсберговая улица;жилая улица;54.4446408;83.4839771
Шипунихинская улица;жилая улица;54.4356737;83.4862857
Чистяковская улица;жилая улица;54.4381002;83.4928918
Ключевская улица;жилая улица;54.4375875;83.4912064
Ситовская улица;жилая улица;54.3994341;83.5475194
улица Шатохина;жилая улица;54.4047657;83.5554423
улица Боровая;проезд;55.5982632;83.2801846
Шагаловская улица;жилая улица;54.910197;82.2227851
Грязевой перевал;улица;55.0047237;82.2480619
Тропа к Умревинскому острогу;тропинка;55.5745982;83.5953978
улица Граничная;улица;54.4384917;83.4843864
Тополевый_1;улица;54.4580371;82.1518868
улица Ванеева;жилая улица;55.5080691;83.4452121
Прощальная улица;проезд;54.8781827;82.1581329
Чилино — Батурино;ул. районного значения;55.7264965;83.5459481
Чиковская улица;ул. районного значения;54.5633743;82.110664
улица Спирякова;жилая улица;54.2315933;83.3660743
улица Цыцаркина;ул. общегородского значения;54.2245587;83.3877229
улица Бубенчикова;жилая улица;54.2302938;83.3626891
улица Розы Люксембург;жилая улица;54.2286971;83.3639841
Интернациональная улица;ул. районного значения;54.2298706;83.3739768
улица Станционная;жилая улица;55.0471084;81.9344217
улица Переездная;жилая улица;55.0409916;81.9438077
Культурная улица;жилая улица;54.943687;82.0799334
Комиссаровская улица;жилая улица;54.2262136;83.3689502
улица Д. Бедного;жилая улица;54.2360291;83.3727978
улица Переезд;проезд;54.2211767;83.375164
улица Байдуги;жилая улица;54.3728419;81.9046668
улица Одарича;жилая улица;54.2185924;83.369586
Привокзальная улица;жилая улица;55.1454003;83.7666932
Залинейная улица;жилая улица;54.2963507;83.3248986
Льнозаводской пешеходный мост;пешеходная дорожка;55.1512338;83.8007844
Сионская улица;жилая улица;55.0282026;83.7820738
Пристанская улица;улица;54.3639747;81.9253372
улица Юных Ленинцев;проезд;54.3665553;81.8920614
улица Шаболдина;проезд;54.36183;81.8931824
Водостроевская улица;жилая улица;54.3510341;81.8654591
улица Сельская;жилая улица;55.0474787;81.9453879
улица Революционеров;жилая улица;55.6793332;83.1917262
улица Соловьева;жилая улица;55.6763179;83.2005722
Пятилетская улица;жилая улица;54.2392646;83.328976
улица Льнозавод;жилая улица;54.6433842;83.7820859
Укропская улица;жилая улица;54.8526727;83.9532095
Ордынское-Луковка;ул. районного значения;54.3785761;81.8083759
улица Шилова;жилая улица;54.5393189;81.8925267
Болотное — Кругликово;ул. районного значения;55.8261639;83.9214441
Прямское-Барсуково;грунтовая дорога;54.3619891;83.8888851
улица Народная;жилая улица;54.3033332;82.7369969
улица Семилетка;жилая улица;55.4733423;83.8762574
улица Специалистов;жилая улица;55.4674464;83.8736972
Легостаево;грунтовая дорога;54.4803282;83.7956957
улица Ильиных;жилая улица;54.3176442;81.9036465
Участок Сибирского тракта Овчинниково-Крутологово;грунтовая дорога;55.2986892;82.055042
улица Князева;жилая улица;54.8525538;83.9469079
Красковская;жилая улица;54.4408734;83.9781038
улица Крестьянский двор;проезд;55.5159794;83.868472
Тайговская улица;жилая улица;54.6364994;83.9727873
Огоньковая улица;жилая улица;55.1414144;83.7172323
Актёрская улица;жилая улица;55.1489101;83.7442233
Мельниково — Кожевниково — Изовка;главная улица;55.8071;83.5249269
улица Светлая Поляна;жилая улица;54.2678331;83.8386746
Талицкая;проезд;54.4410173;83.968727
Милицейская улица;жилая улица;54.6379304;83.8207928
улица Анцупова;жилая улица;54.6428423;81.9328031
улица Стрижака;жилая улица;54.6444788;81.936183
улица Молокова;жилая улица;54.6444979;81.9295749
улица Зырянка;жилая улица;54.7704434;83.8617451
Торговая;жилая улица;54.3048555;82.9090251
Совхозная;жилая улица;54.2903675;82.8999196
Зарипова;жилая улица;55.6670185;83.4726785
Ояшинская улица;жилая улица;55.7123559;83.706595
улица Нефтебаза;ул. районного значения;54.2939018;83.3318564
Станционно-Ояшинский — Кайлы;ул. районного значения;55.4161724;83.9576574
улица Медведева;жилая улица;54.3646113;81.8564577
улица Кузбасс;жилая улица;54.3716957;81.9402464
грунтовый выезд;грунтовая дорога;54.6068065;82.0418942
Медведское;грунтовая дорога;54.4774005;83.7961045
Кинтереп;грунтовая дорога;54.4790948;83.7996924
Гусельниково;грунтовая дорога;54.4776342;83.7903253
Говорухина улица;жилая улица;54.4116875;82.0285207
Высота - Томилово;грунтовая дорога;55.1947819;83.8212908
улица Говорухина;ул. районного значения;54.4133288;82.0365349
Подъездной путь до кладбища;жилая улица;54.3151604;83.8600748
Байдуги улица;жилая улица;54.3723298;81.9072723
улица Кооперативная;улица;54.2681898;82.5304356
въезд в д.Березовка;грунтовая дорога;54.6045817;82.0548193
улица Таежная;жилая улица;55.6679898;83.1957553
сезонная;грунтовая дорога;54.6156057;81.9077325
плотина голодный карп;грунтовая дорога;54.7860087;81.9284323
медвежья колея;грунтовая дорога;54.4811189;83.814805
улица Железнодорожная;жилая улица;55.0438016;81.9326054
